---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
  bin.43         k__Bacteria (UID203)            5449        102            57         90    12    0    0    0   0       19.30            0.00               0.00          
  bin.82         k__Bacteria (UID203)            5449        103            57         83    20    0    0    0   0       18.37            0.00               0.00          
  bin.18         k__Bacteria (UID203)            5449        104            58         93    11    0    0    0   0       14.66            0.00               0.00          
  bin.9          k__Bacteria (UID203)            5449        104            58         96    8     0    0    0   0       12.93            0.00               0.00          
  bin.7          k__Bacteria (UID203)            5449        103            57         97    6     0    0    0   0        8.77            0.00               0.00          
  bin.74             root (UID1)                 5656         56            24         54    2     0    0    0   0        8.33            0.00               0.00          
  bin.59             root (UID1)                 5656         56            24         54    2     0    0    0   0        8.33            0.00               0.00          
  bin.83         k__Bacteria (UID203)            5449        104            58         99    5     0    0    0   0        7.76            0.00               0.00          
  bin.72             root (UID1)                 5656         56            24         55    1     0    0    0   0        4.17            0.00               0.00          
  bin.68             root (UID1)                 5656         56            24         55    1     0    0    0   0        4.17            0.00               0.00          
  bin.70         k__Bacteria (UID203)            5449        104            58        102    2     0    0    0   0        3.45            0.00               0.00          
  bin.81             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.73             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.66             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.62             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.6              root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.52             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.46             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.4              root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.39             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.36             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.31             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.30             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.29             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.21             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.2              root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.17             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
  bin.13             root (UID1)                 5656         56            24         56    0     0    0    0   0        0.00            0.00               0.00          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
