------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1      2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.73     f__Xanthomonadaceae (UID4214)         55         659           290         5    653     1    0    0    0       99.20            0.04               0.00          
  bin.14       g__Burkholderia (UID4006)           64         769           248         4    753     12   0    0    0       99.19            1.12               8.33          
  bin.75       o__Clostridiales (UID1120)         304         250           143         2    244     3    1    0    0       98.60            1.68              16.67          
  bin.44        g__Pseudomonas (UID4550)           78         1044          368         12   1027    5    0    0    0       98.44            0.54               0.00          
  bin.49       f__Rhizobiaceae (UID3563)           81         808           337         11   781     16   0    0    0       98.24            1.97               0.00          
  bin.41      o__Actinomycetales (UID1696)        455         315           190         8    303     4    0    0    0       97.11            1.58               0.00          
  bin.15      o__Actinomycetales (UID1746)        334         368           206         14   258     80   15   1    0       96.99           34.81               0.76          
  bin.23       g__Streptomyces (UID2055)           49         577           284         19   552     6    0    0    0       96.69            1.45              16.67          
  bin.76      f__Micrococcaceae (UID1631)          31         367           171         24   340     3    0    0    0       94.77            0.88               0.00          
  bin.12    c__Deltaproteobacteria (UID3216)       83         247           155         10   226     10   1    0    0       94.19            7.12               7.69          
  bin.32          k__Bacteria (UID203)            5449        103            57         4     82     17   0    0    0       92.98            9.49               5.88          
  bin.35      o__Burkholderiales (UID4000)        193         427           214         45   249    128   5    0    0       86.64           31.66               0.00          
  bin.80      f__Micrococcaceae (UID1623)          39         457           218         54   387     16   0    0    0       86.03            4.42               0.00          
  bin.79          g__Bacillus (UID864)             93         711           241        103   599     9    0    0    0       85.67            1.12               0.00          
  bin.66    c__Alphaproteobacteria (UID3305)      564         345           228         73   202     68   1    1    0       78.80           20.70               1.30          
  bin.1            k__Archaea (UID2)              207         149           107         33    14     17   27   18   40      75.24           199.23              4.44          
  bin.3            k__Archaea (UID2)              207         149           107         32    29     33   14   23   18      75.01           118.36              7.30          
  bin.82     f__Xanthomonadaceae (UID4214)         55         659           290        190   467     2    0    0    0       69.57            0.69               0.00          
  bin.5           k__Bacteria (UID203)            5449        104            58         43    36     21   4    0    0       46.99           10.49               0.00          
  bin.83    c__Alphaproteobacteria (UID3305)      564         345           228        198   147     0    0    0    0       46.40            0.00               0.00          
  bin.89          k__Bacteria (UID203)            5449        104            58         76    28     0    0    0    0       41.38            0.00               0.00          
  bin.2           k__Bacteria (UID203)            5449        104            58         44    15     16   13   8    8       40.41           52.65              29.52          
  bin.90      f__Micrococcaceae (UID1623)          39         457           218        287   167     3    0    0    0       36.63            0.61               0.00          
  bin.94          k__Bacteria (UID203)            5449        104            58         79    25     0    0    0    0       35.52            0.00               0.00          
  bin.19           k__Archaea (UID2)              207         149           107        116    29     2    2    0    0       22.63            3.27              12.50          
  bin.11           k__Archaea (UID2)              207         149           107        109    23     15   1    1    0       20.84            8.63              16.67          
  bin.93          k__Bacteria (UID203)            5449        104            58         85    15     4    0    0    0        8.62            1.19              100.00         
  bin.100         k__Bacteria (UID203)            5449        102            56         96    6      0    0    0    0        8.04            0.00               0.00          
  bin.10           k__Archaea (UID2)              207         149           107        140    8      1    0    0    0        5.84            0.47               0.00          
  bin.105         k__Bacteria (UID203)            5449        103            57        100    3      0    0    0    0        5.26            0.00               0.00          
  bin.111         k__Bacteria (UID203)            5449        104            58         96    8      0    0    0    0        4.76            0.00               0.00          
  bin.81          k__Bacteria (UID203)            5449        104            58        100    4      0    0    0    0        2.38            0.00               0.00          
  bin.106         k__Bacteria (UID203)            5449        103            57         98    2      3    0    0    0        2.23            1.91              100.00         
  bin.91           k__Archaea (UID2)              207         149           107        141    7      1    0    0    0        2.08            0.23               0.00          
  bin.120         k__Bacteria (UID203)            5449        104            58        102    2      0    0    0    0        1.72            0.00               0.00          
  bin.102          k__Archaea (UID2)              207         149           107        148    1      0    0    0    0        0.93            0.00               0.00          
  bin.99              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.98              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.97              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
  bin.96              root (UID1)                 5656         56            24         56    0      0    0    0    0        0.00            0.00               0.00          
