----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.94          k__Bacteria (UID203)            5449        102            57         57    27   18   0    0    0       23.60            3.59              44.44          
  bin.76              root (UID1)                 5656         56            24         48    6    2    0    0    0       23.15            5.56              50.00          
  bin.41              root (UID1)                 5656         56            24         50    6    0    0    0    0       21.30            0.00               0.00          
  bin.103             root (UID1)                 5656         56            24         45    11   0    0    0    0       20.72            0.00               0.00          
  bin.96              root (UID1)                 5656         56            24         47    9    0    0    0    0       18.92            0.00               0.00          
  bin.46              root (UID1)                 5656         56            24         44    11   1    0    0    0       18.87            0.52               0.00          
  bin.54              root (UID1)                 5656         56            24         49    7    0    0    0    0       18.75            0.00               0.00          
  bin.50              root (UID1)                 5656         56            24         49    7    0    0    0    0       18.75            0.00               0.00          
  bin.85              root (UID1)                 5656         56            24         52    4    0    0    0    0       16.67            0.00               0.00          
  bin.120             root (UID1)                 5656         56            24         52    4    0    0    0    0       16.67            0.00               0.00          
  bin.87              root (UID1)                 5656         56            24         39    15   2    0    0    0       15.38            0.76              100.00         
  bin.73              root (UID1)                 5656         56            24         45    11   0    0    0    0       14.44            0.00               0.00          
  bin.105         k__Bacteria (UID203)            5449        103            58         81    15   5    2    0    0       14.24            2.98              54.55          
  bin.111         k__Bacteria (UID203)            5449        103            57         94    9    0    0    0    0       14.04            0.00               0.00          
  bin.117     o__Actinomycetales (UID1696)        455         315           190        269    46   0    0    0    0       13.72            0.00               0.00          
  bin.90              root (UID1)                 5656         56            24         42    13   1    0    0    0       12.77            0.46               0.00          
  bin.67              root (UID1)                 5656         56            24         53    3    0    0    0    0       12.50            0.00               0.00          
  bin.78          k__Bacteria (UID203)            5449        104            58         87    17   0    0    0    0       12.49            0.00               0.00          
  bin.75              root (UID1)                 5656         56            24         41    15   0    0    0    0        9.85            0.00               0.00          
  bin.63              root (UID1)                 5656         56            24         51    5    0    0    0    0        9.64            0.00               0.00          
  bin.47          k__Bacteria (UID203)            5449        101            57         92    9    0    0    0    0        9.25            0.00               0.00          
  bin.56              root (UID1)                 5656         56            24         49    7    0    0    0    0        8.89            0.00               0.00          
  bin.121             root (UID1)                 5656         56            24         54    2    0    0    0    0        8.33            0.00               0.00          
  bin.114             root (UID1)                 5656         56            24         53    3    0    0    0    0        8.33            0.00               0.00          
  bin.104             root (UID1)                 5656         56            24         54    2    0    0    0    0        8.33            0.00               0.00          
  bin.108     o__Burkholderiales (UID4002)        107         574           251        523    50   1    0    0    0        7.16            0.05               0.00          
  bin.110         k__Bacteria (UID203)            5449        104            58        100    4    0    0    0    0        6.90            0.00               0.00          
  bin.116             root (UID1)                 5656         56            24         49    7    0    0    0    0        6.83            0.00               0.00          
  bin.83          k__Bacteria (UID203)            5449        101            58         89    11   1    0    0    0        6.58            0.16              100.00         
  bin.100             root (UID1)                 5656         56            24         52    4    0    0    0    0        5.56            0.00               0.00          
  bin.118             root (UID1)                 5656         56            24         51    5    0    0    0    0        5.09            0.00               0.00          
  bin.93              root (UID1)                 5656         56            24         55    1    0    0    0    0        4.17            0.00               0.00          
  bin.84              root (UID1)                 5656         56            24         53    3    0    0    0    0        4.17            0.00               0.00          
  bin.70              root (UID1)                 5656         56            24         54    2    0    0    0    0        4.17            0.00               0.00          
  bin.64              root (UID1)                 5656         56            24         55    1    0    0    0    0        4.17            0.00               0.00          
  bin.107             root (UID1)                 5656         56            24         55    1    0    0    0    0        4.17            0.00               0.00          
  bin.68          k__Bacteria (UID203)            5449        104            58        100    4    0    0    0    0        3.76            0.00               0.00          
  bin.99    c__Gammaproteobacteria (UID4444)      263         507           232        443    63   1    0    0    0        3.57            0.01              100.00         
  bin.89              root (UID1)                 5656         56            24         52    4    0    0    0    0        1.85            0.00               0.00          
  bin.119         k__Bacteria (UID203)            5449        104            58         94    10   0    0    0    0        1.57            0.00               0.00          
  bin.81          k__Bacteria (UID203)            5449        103            58        101    2    0    0    0    0        0.34            0.00               0.00          
  bin.98              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.97              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.92              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.79              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.77              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.74              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.72              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.71              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.62              root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.122             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.115             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.113             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.112             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.109             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.106             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.102             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.101             root (UID1)                 5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
