----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.2           k__Bacteria (UID203)            5449        104            58         35    13   17   12   12   15      52.98           86.55               2.64          
  bin.8           k__Bacteria (UID203)            5449        104            58         75    28   1    0    0    0       42.55            1.72              100.00         
  bin.64          k__Bacteria (UID203)            5449        104            58         73    31   0    0    0    0       39.58            0.00               0.00          
  bin.60          k__Bacteria (UID203)            5449        104            58         78    26   0    0    0    0       38.09            0.00               0.00          
  bin.71          k__Bacteria (UID203)            5449        104            58         81    23   0    0    0    0       35.34            0.00               0.00          
  bin.67       f__Rhizobiaceae (UID3563)           81         808           337        586   217   5    0    0    0       28.42            0.70               0.00          
  bin.69          k__Bacteria (UID203)            5449        103            58         87    16   0    0    0    0       24.29            0.00               0.00          
  bin.72          k__Bacteria (UID203)            5449        104            58         87    17   0    0    0    0       21.71            0.00               0.00          
  bin.55              root (UID1)                 5656         56            24         52    4    0    0    0    0       16.67            0.00               0.00          
  bin.73          k__Bacteria (UID203)            5449        104            58         88    16   0    0    0    0       11.76            0.00               0.00          
  bin.87          k__Bacteria (UID203)            5449        104            58         95    9    0    0    0    0       10.66            0.00               0.00          
  bin.75              root (UID1)                 5656         56            24         54    2    0    0    0    0        8.33            0.00               0.00          
  bin.65              root (UID1)                 5656         56            24         54    2    0    0    0    0        8.33            0.00               0.00          
  bin.85     f__Xanthomonadaceae (UID4214)         55         659           290        585    70   4    0    0    0        7.92            0.55              50.00          
  bin.63          k__Bacteria (UID203)            5449        104            58         97    7    0    0    0    0        7.21            0.00               0.00          
  bin.77          k__Bacteria (UID203)            5449        104            58         98    6    0    0    0    0        7.05            0.00               0.00          
  bin.89          k__Bacteria (UID203)            5449        104            58        100    4    0    0    0    0        6.90            0.00               0.00          
  bin.76          k__Bacteria (UID203)            5449        104            58        100    4    0    0    0    0        6.90            0.00               0.00          
  bin.74          k__Bacteria (UID203)            5449        104            58         99    5    0    0    0    0        6.90            0.00               0.00          
